section,coordinate_um,X,Y,Z,Edep
"x=0, z=0",0.03,0,106,100,1.0089181759087767e-05
"x=0, z=0",0.035,0,107,100,4.019977550494559e-05
"x=0, z=0",0.04,0,108,100,8.524294145603608e-06
"x=0, z=0",0.045,0,109,100,1.4204545696768302e-06
"x=0, z=0",0.05,0,110,100,9.097989627804957e-07
"x=0, z=0",0.055,0,111,100,2.598016190360807e-07
"x=0, z=0",0.06,0,112,100,3.748013721048838e-07
"x=0, z=0",0.065,0,113,100,1.6641476090695659e-07
"x=0, z=0",0.07,0,114,100,1.613382291362745e-31
"x=0, z=0",0.075,0,115,100,2.1090410818612847e-31
"x=0, z=0",0.08,0,116,100,3.4788181486312816e-31
"x=0, z=0",0.085,0,117,100,1.3354819026607543e-31
"x=0, z=0",0.09,0,118,100,5.332117442987317e-31
"x=0, z=0",0.095,0,119,100,4.347794380503495e-31
"x=0, z=0",0.1,0,120,100,1.5280332752038675e-31
"x=0, z=0",0.105,0,121,100,1.8741490368672552e-31
"x=0, z=0",0.11,0,122,100,3.3042604467712372e-31
"x=0, z=0",0.115,0,123,100,1.9807283263372968e-31
"x=0, z=0",0.12,0,124,100,1.733524088830792e-31
"x=0, z=0",0.125,0,125,100,1.9174835498323115e-31
"x=0, z=0",0.13,0,126,100,1.7582432580842995e-31
"x=0, z=0",0.135,0,127,100,6.724829505296797e-32
"x=0, z=0",0.14,0,128,100,7.6512895840177e-32
"x=0, z=0",0.145,0,129,100,2.0223149066168957e-31
"x=0, z=0",0.15,0,130,100,1.0809960061838919e-31
"x=0, z=0",0.155,0,131,100,1.986880937879249e-31
"x=0, z=0",0.16,0,132,100,9.291279759776533e-32
"x=0, z=0",0.165,0,133,100,1.719608927747124e-31
"x=0, z=0",0.17,0,134,100,8.120150921663039e-32
"x=0, z=0",0.175,0,135,100,6.107589033387564e-32
"x=0, z=0",0.18,0,136,100,1.315256620949443e-31
"x=0, z=0",0.185,0,137,100,4.058140747460376e-32
"x=0, z=0",0.19,0,138,100,9.706448619715482e-32
"x=0, z=0",0.195,0,139,100,4.385405598726535e-32
"x=0, z=0",0.2,0,140,100,4.046308051633544e-32
"x=0, z=0",0.205,0,141,100,5.243951383800281e-32
"x=0, z=0",0.21,0,142,100,1.2798951342689286e-31
"x=0, z=0",0.215,0,143,100,6.287205146504011e-32
"x=0, z=0",0.22,0,144,100,1.1319062880049766e-31
"x=0, z=0",0.225,0,145,100,1.3396119860315755e-31
"x=0, z=0",0.23,0,146,100,8.781103649565843e-32
"x=0, z=0",0.235,0,147,100,5.903440531703302e-32
"x=0, z=0",0.24,0,148,100,1.1760004686842068e-31
"x=0, z=0",0.245,0,149,100,8.320201399347906e-32
"x=0, z=0",0.25,0,150,100,1.091080769325266e-31
"x=0, z=0",0.255,0,151,100,9.485364406605135e-32
"x=0, z=0",0.26,0,152,100,1.017188099850418e-31
"x=0, z=0",0.265,0,153,100,8.709318535290685e-32
"x=0, z=0",0.27,0,154,100,5.67811890602215e-32
"x=0, z=0",0.275,0,155,100,3.445200412979082e-32
"x=0, z=0",0.28,0,156,100,4.810857153578256e-32
"x=0, z=0",0.285,0,157,100,4.4414077450611575e-32
"x=0, z=0",0.29,0,158,100,3.414745404012132e-32
"x=0, z=0",0.295,0,159,100,3.104083125486388e-32
"x=0, z=0",0.3,0,160,100,2.2487195814978866e-32
"x=0, z=0",0.305,0,161,100,2.752234311880986e-32
"x=0, z=0",0.31,0,162,100,2.624389901956929e-32
"x=0, z=0",0.315,0,163,100,6.388261860774863e-32
"x=0, z=0",0.32,0,164,100,8.738520441000677e-32
"x=0, z=0",0.325,0,165,100,9.277828762635652e-32
"x=0, z=0",0.33,0,166,100,5.399230252348874e-32
"x=0, z=0",0.335,0,167,100,3.723737807452408e-32
